fof_file,physical_file,matched_physical_file_found,readable,particle_count_match,nonfof_velocity_max_abs,nonfof_velocity_nonzero_count,status,error_message
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,True,True,True,1013.5398479178548,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0024_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,True,True,True,1013.5398479178548,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1850_n60_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,True,True,True,1013.5398479178548,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,True,True,True,954.350340180099,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,True,True,True,954.350340180099,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,True,True,True,954.350340180099,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,True,True,True,954.350340180099,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n50_r12_v00_54000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r12_v00_56000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r12_v00_58000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r12_v00_60000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r12_v00_62000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r12_v00_64000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r12_v00_66000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r12_v00_68000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r12_v00_70000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r12_v00_72000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r12_v00_90000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_90000.hdf5,True,True,True,1067.4454970285296,108605,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n50_r16_v00_72000_fof_0.006_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n50_r16_v00_90000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r16_v00_90000.hdf5,True,True,True,968.9157595857978,108605,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n55_r12_v00_72000_fof_0.004_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n55_r12_v00_90000_fof_0.004_0000.hdf5,Ma_xp_A1900_n55_r12_v00_90000.hdf5,True,True,True,1066.9921757653356,319379,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n55_r16_v00_72000_fof_0.004_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n55_r16_v00_90000_fof_0.004_0000.hdf5,Ma_xp_A1900_n55_r16_v00_90000.hdf5,True,True,True,993.0941741913557,319379,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n60_r12_v00_72000_fof_0.003_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
